 ,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle
1,3968,254.483,209,255,214,65,223.053,72.149,70.025,0
2,1626,254.405,237,255,148,85.5,142.942,45.926,45.078,0
3,2686,254.482,222,255,99.5,122,183.783,58.964,58,0
4,4236,254.195,169,255,167.5,152,230.907,75.937,71.025,90
5,4236,254.143,181,255,245.5,139,230.907,75.937,71.025,90
6,3166,249.651,14,255,293,83.5,199.491,65.04,61.979,90
7,5882,249.205,60,255,351,138.5,271.748,87.066,86.018,90
8,4656,245.009,60,255,402,71,241.903,77.993,76.009,0
9,3070,242.726,63,255,428.5,138,196.35,63.053,61.993,0
10,1930,250.624,87,255,295,183.5,155.509,50.035,49.113,0
11,3219,249.801,77,255,105.5,189.5,201.062,65.121,62.938,0
12,4420,253.324,139,255,129,255,235.619,75.981,74.067,0
13,5952,254.162,180,255,215,256,273.319,87.949,86.167,90
14,7762,253.905,62,255,312.5,262,312.588,101.854,97.029,90
15,1928,251.302,86,255,389.5,258,155.509,51.053,48.083,0
16,3166,249.521,7,255,447,246.5,199.491,65.04,61.979,90
17,4304,253.71,97,255,123,334,232.478,76.108,72.004,90
18,3124,245.644,0,255,193,332,197.92,63.926,62.222,0
19,2205,233.218,0,255,257.5,346.5,166.504,54.996,51.049,0
20,6158,251.061,23,255,331,358.5,278.031,90.011,87.108,0
21,4543,251.488,50,255,422.5,315.5,238.761,77.082,75.042,90
22,5884,254.57,225,255,415.5,400,271.748,88.079,85.057,90
23,4604,249.305,4,255,104.5,412,240.332,77.097,76.034,0
24,4604,251.971,79,255,180.5,406,240.332,77.097,76.034,0
25,4604,251.257,63,255,259.5,412,240.332,77.097,76.034,0